secondLevel,firstLevel,"[0, 50)","[50, 100)","[100, 200)","[200, 300)","[300, 400)","[400, 600)","[600, )"
A01,A,1,0,2,2,3,2,6
A02,A,0,0,8,4,1,6,5
A03,A,0,1,8,2,2,0,1
A04,A,0,0,1,1,3,3,1
A05,A,2,1,0,1,0,0,0
A06,A,6,4,7,6,2,2,0
A07,A,4,9,5,2,5,4,4
A08,A,0,0,4,3,2,1,1
A09,A,3,0,0,0,0,0,0
A10,A,0,0,0,10,16,10,3
A11,A,4,9,1,1,1,0,0
A12,A,3,9,5,2,1,1,0
A14,A,0,2,1,0,0,0,0
A16,A,11,1,3,2,0,0,0
B01,B,1,0,27,3,6,3,4
B02,B,10,2,3,0,1,1,0
B03,B,6,3,0,0,1,1,0
B05,B,9,5,3,3,1,1,0
B06,B,3,2,1,0,0,0,0
C01,C,7,4,10,4,6,9,4
C02,C,0,1,5,8,2,3,0
C03,C,0,0,0,2,7,7,3
C04,C,0,3,2,0,2,0,0
C05,C,5,3,4,0,1,3,6
C07,C,0,0,1,0,4,9,8
C08,C,0,0,0,1,0,6,5
C09,C,1,0,0,4,2,13,6
C10,C,2,4,2,4,3,8,6
D01,D,3,3,1,2,3,1,2
D02,D,2,1,0,0,0,0,0
D03,D,1,1,0,0,0,0,0
D04,D,3,1,0,2,2,1,2
D05,D,2,0,3,0,1,0,0
D06,D,3,5,4,3,0,2,1
D07,D,15,0,1,1,0,3,5
D08,D,9,0,1,0,0,1,0
D09,D,3,0,1,0,0,0,0
D10,D,6,3,0,0,3,1,3
D11,D,2,6,2,1,1,1,2
G01,G,9,6,7,4,10,15,5
G02,G,1,0,2,3,2,2,2
G03,G,7,6,8,4,5,2,0
G04,G,5,1,3,5,7,9,0
H01,H,7,1,2,4,4,0,0
H02,H,1,0,0,0,1,3,6
H03,H,1,1,1,1,0,0,1
H04,H,1,0,0,0,0,0,0
H05,H,4,1,0,2,0,0,0
J01,J,31,16,19,16,9,10,9
J02,J,2,1,1,0,2,2,3
J04,J,4,0,4,4,3,3,0
J05,J,13,4,14,3,12,12,3
J06,J,1,1,0,0,0,0,0
J07,J,0,0,0,4,0,0,0
L01,L,14,20,34,24,30,43,8
L02,L,0,1,7,8,5,3,0
L03,L,4,0,9,4,0,1,0
L04,L,2,13,6,12,11,5,7
M01,M,2,2,5,0,6,12,5
M02,M,2,1,0,0,3,5,3
M03,M,0,0,11,3,1,4,2
M04,M,3,0,1,2,1,1,0
M05,M,2,2,0,2,3,2,0
M09,M,1,1,0,0,1,0,0
N01,N,8,7,6,1,5,4,1
N02,N,0,1,5,11,4,9,9
N03,N,0,0,3,6,4,13,8
N04,N,0,0,0,8,7,5,0
N05,N,0,2,4,6,10,30,23
N06,N,1,5,2,6,6,11,21
N07,N,4,4,4,5,4,5,2
P01,P,7,4,3,3,3,1,2
P02,P,6,4,0,1,0,0,0
P03,P,0,0,2,0,0,0,0
R01,R,7,4,6,1,2,3,4
R02,R,4,1,3,0,1,1,1
R03,R,4,7,5,3,9,9,2
R05,R,5,0,0,4,1,2,0
R06,R,0,1,2,18,5,4,1
R07,R,0,2,0,1,1,0,0
S01,S,35,14,21,13,10,17,13
S02,S,4,1,3,2,1,4,6
S03,S,0,1,2,2,0,3,4
V03,V,19,6,9,4,0,3,2
V04,V,9,4,2,1,1,2,0
V08,V,11,1,9,0,2,0,0
V09,V,4,1,2,1,0,0,0
V10,V,0,0,5,1,0,0,0
